,tick,seconds,clockTime,attackerSteamID,attackerName,attackerTeam,attackerSide,attackerX,attackerY,attackerZ,attackerViewX,attackerViewY,victimSteamID,victimName,victimTeam,victimSide,victimX,victimY,victimZ,victimViewX,victimViewY,assisterSteamID,assisterName,assisterTeam,assisterSide,isSuicide,isTeamkill,isWallbang,penetratedObjects,isFirstKill,isHeadshot,victimBlinded,attackerBlinded,flashThrowerSteamID,flashThrowerName,flashThrowerTeam,flashThrowerSide,noScope,thruSmoke,distance,isTrade,playerTradedName,playerTradedTeam,playerTradedSteamID,weapon,weaponClass,roundNum,matchID,mapName
22,80032,30.9453125,01:25,76561198034202272,s1mple,Natus Vincere,T,-367.92767333984375,1947.3365478515625,-126.22232055664062,41.6162109375,355.4461669921875,76561198037812456,ISSAA,OGEsports,CT,101.43657684326172,2347.6767578125,-66.56484985351562,221.077880859375,5.8502197265625,76561198121220480,Perfecto,Natus Vincere,T,False,False,False,0,False,True,False,False,,,,,False,False,619.785524897291,False,,,,MAC-10,SMG,4,OG-NaVi-BLAST2020,de_dust2
23,80044,31.0390625,01:24,76561198121220480,Perfecto,Natus Vincere,T,-701.457763671875,2198.5595703125,-118.94365692138672,357.3687744140625,357.1490478515625,76561198114929868,valde,OGEsports,CT,1743.9129638671875,2072.439208984375,0.03125,177.418212890625,2.581787109375,,,,,False,False,False,0,False,False,False,False,,,,,False,False,2451.5096102449634,False,,,,FAMAS,Rifle,4,OG-NaVi-BLAST2020,de_dust2
24,82699,8.109375,00:32,76561198016432560,mantuu,OGEsports,CT,1091.38330078125,2443.510009765625,96.17657470703125,210.0970458984375,19.4952392578125,76561198121220486,Perfecto,Natus Vincere,T,594.804443359375,2141.96533203125,-98.00709533691406,31.13525390625,341.7681884765625,,,,,False,False,False,0,False,False,False,False,,,,,False,False,612.5577948406817,False,,,,P250,Pistols,4,OG-NaVi-BLAST2020,de_dust2
25,84021,18.4375,00:22,76561198146207072,Boombl4,Natus Vincere,T,326.5740051269531,1694.1640625,53.05033874511719,73.6029052734375,358.5662841796875,76561198016432560,mantuu,OGEsports,CT,574.5311279296875,2512.67431640625,96.16340637207031,252.1856689453125,2.2137451171875,,,,,False,False,False,0,False,False,False,False,,,,,False,False,856.3296719713094,False,,,,AK-47,Rifle,4,OG-NaVi-BLAST2020,de_dust2
26,88285,8.3046875,01:47,76561198037812448,ISSAA,OGEsports,CT,-415.947265625,1627.2728271484375,-126.26683044433594,275.5865478515625,354.08935546875,76561198034202275,s1mple,Natus Vincere,T,-268.5945129394531,324.79052734375,-0.4272732734680176,97.09716796875,4.7406005859375,,,,,False,False,False,0,True,True,True,False,76561198016432560,mantuu,OGEsports,CT,False,False,1316.8175914596054,False,,,,M4A4,Rifle,5,OG-NaVi-BLAST2020,de_dust2
27,91550,33.8125,01:22,76561198013243328,Aleksib,OGEsports,CT,-222.54579162597656,2205.11376953125,-53.96875,246.060791015625,9.173583984375,76561198146207066,Boombl4,Natus Vincere,T,-475.4471130371094,1665.29541015625,-123.16961669921875,65.8575439453125,358.5333251953125,,,,,False,False,False,0,False,False,False,False,,,,,False,False,600.1264028867058,False,,,,FAMAS,Rifle,5,OG-NaVi-BLAST2020,de_dust2
28,92150,38.5,01:17,76561198116523280,flamie,Natus Vincere,T,-586.239990234375,1871.1229248046875,-118.94329833984375,24.312744140625,0.933837890625,76561198013243326,Aleksib,OGEsports,CT,155.11102294921875,2204.750244140625,-128.4542694091797,204.9114990234375,0.3131103515625,,,,,False,False,False,0,False,True,False,False,,,,,False,False,813.0184324640533,True,Boombl4,Natus Vincere,7.656119814620707e+16,AWP,Rifle,5,OG-NaVi-BLAST2020,de_dust2
29,95375,63.6953125,00:52,76561198121220480,Perfecto,Natus Vincere,T,239.39395141601562,209.76412963867188,9.03125,4.822998046875,2.8509521484375,76561198114929868,valde,OGEsports,CT,602.0712890625,220.73924255371094,0.03125,184.2352294921875,359.3408203125,,,,,False,False,False,0,False,True,False,False,,,,,False,False,362.9549618697062,False,,,,FAMAS,Rifle,5,OG-NaVi-BLAST2020,de_dust2
30,98909,91.3046875,00:24,76561198016432560,mantuu,OGEsports,CT,1072.8468017578125,3057.827880859375,131.16989135742188,260.3485107421875,9.0966796875,76561198044045107,electronic,Natus Vincere,T,985.6533203125,2642.368408203125,95.58613586425781,80.255126953125,357.1380615234375,,,,,False,False,False,0,False,False,False,False,,,,,False,False,425.9993900011603,False,,,,M4A4,Rifle,5,OG-NaVi-BLAST2020,de_dust2
31,98946,91.59375,00:24,76561198121220480,Perfecto,Natus Vincere,T,539.0625,352.26666259765625,10.250728607177734,4.317626953125,4.658203125,76561198037812456,ISSAA,OGEsports,CT,652.7117309570312,356.7457580566406,0.3295973539352417,89.1265869140625,359.6923828125,,,,,False,False,False,0,False,True,False,False,,,,,False,False,114.16934281408206,False,,,,M4A4,Rifle,5,OG-NaVi-BLAST2020,de_dust2
